Date,Month,Channel,Sessions,Users,Engaged Sessions,Engagement Rate,Key Events,Website Key Event CVR,CRM Leads,Lead Rate,MQLs,MQL Rate,SQLs,Customers,Lead-to-Customer Rate,Estimated Revenue,Cost,CPA,Revenue per Session,ROAS,Insight Tag
2026-01-01,2026-01,Direct,41,31,24,0.5854,2,0.0488,1,0.0244,1,1.0,0,0,0.0,0.0,0.0,0.0,0.0,,Baseline
2026-01-01,2026-01,Email,18,13,15,0.8333,1,0.0556,2,0.1111,2,1.0,1,0,0.0,0.0,1.5,0.75,0.0,0.0,"Small volume, high intent"
2026-01-01,2026-01,Organic Search,131,94,90,0.687,6,0.0458,5,0.0382,3,0.6,0,0,0.0,0.0,23.41,4.68,0.0,0.0,SEO engagement strength
2026-01-01,2026-01,Paid Search,52,39,31,0.5962,2,0.0385,3,0.0577,1,0.3333,0,0,0.0,0.0,59.34,19.78,0.0,0.0,Baseline
2026-01-01,2026-01,Paid Social,87,73,43,0.4943,4,0.046,2,0.023,0,0.0,0,0,0.0,0.0,35.59,17.8,0.0,0.0,"High traffic, low lead efficiency"
2026-01-01,2026-01,Referral,29,24,19,0.6552,1,0.0345,1,0.0345,1,1.0,0,0,0.0,0.0,1.42,1.42,0.0,0.0,Baseline
2026-01-02,2026-01,Direct,44,37,28,0.6364,0,0.0,3,0.0682,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,,Baseline
2026-01-02,2026-01,Email,22,19,16,0.7273,1,0.0455,2,0.0909,1,0.5,1,0,0.0,0.0,2.13,1.06,0.0,0.0,"Small volume, high intent"
2026-01-02,2026-01,Organic Search,137,110,89,0.6496,6,0.0438,5,0.0365,3,0.6,2,0,0.0,0.0,27.1,5.42,0.0,0.0,SEO engagement strength
2026-01-02,2026-01,Paid Search,71,57,45,0.6338,4,0.0563,3,0.0423,2,0.6667,1,0,0.0,0.0,89.63,29.88,0.0,0.0,Baseline
2026-01-02,2026-01,Paid Social,90,74,35,0.3889,1,0.0111,2,0.0222,1,0.5,1,0,0.0,0.0,40.25,20.12,0.0,0.0,"High traffic, low lead efficiency"
2026-01-02,2026-01,Referral,24,20,15,0.625,0,0.0,1,0.0417,0,0.0,0,0,0.0,0.0,1.28,1.28,0.0,0.0,Baseline
2026-01-03,2026-01,Direct,31,22,16,0.5161,1,0.0323,1,0.0323,1,1.0,0,0,0.0,0.0,0.0,0.0,0.0,,Baseline
2026-01-03,2026-01,Email,13,10,9,0.6923,0,0.0,0,0.0,0,0,0,0,0,0,1.3,,0.0,0.0,Baseline
2026-01-03,2026-01,Organic Search,103,79,64,0.6214,4,0.0388,4,0.0388,1,0.25,1,0,0.0,0.0,19.55,4.89,0.0,0.0,SEO engagement strength
2026-01-03,2026-01,Paid Search,44,33,25,0.5682,3,0.0682,2,0.0455,2,1.0,0,0,0.0,0.0,53.22,26.61,0.0,0.0,Baseline
2026-01-03,2026-01,Paid Social,56,44,29,0.5179,2,0.0357,2,0.0357,1,0.5,0,0,0.0,0.0,22.35,11.18,0.0,0.0,Baseline
2026-01-03,2026-01,Referral,19,13,13,0.6842,0,0.0,1,0.0526,0,0.0,0,0,0.0,0.0,0.92,0.92,0.0,0.0,Baseline
2026-01-04,2026-01,Direct,35,27,20,0.5714,1,0.0286,1,0.0286,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,,Baseline
2026-01-04,2026-01,Email,13,9,9,0.6923,1,0.0769,1,0.0769,1,1.0,0,0,0.0,0.0,1.21,1.21,0.0,0.0,Baseline
2026-01-04,2026-01,Organic Search,101,79,68,0.6733,3,0.0297,4,0.0396,3,0.75,0,0,0.0,0.0,18.29,4.57,0.0,0.0,SEO engagement strength
2026-01-04,2026-01,Paid Search,45,34,27,0.6,2,0.0444,2,0.0444,2,1.0,1,0,0.0,0.0,56.42,28.21,0.0,0.0,Baseline
2026-01-04,2026-01,Paid Social,77,66,37,0.4805,0,0.0,2,0.026,0,0.0,0,0,0.0,0.0,30.74,15.37,0.0,0.0,"High traffic, low lead efficiency"
2026-01-04,2026-01,Referral,17,14,10,0.5882,0,0.0,0,0.0,0,0,0,0,0,0,0.94,,0.0,0.0,Baseline
2026-01-05,2026-01,Direct,57,47,32,0.5614,1,0.0175,3,0.0526,2,0.6667,1,0,0.0,0.0,0.0,0.0,0.0,,Baseline
2026-01-05,2026-01,Email,51,42,38,0.7451,7,0.1373,4,0.0784,3,0.75,1,0,0.0,0.0,4.66,1.17,0.0,0.0,"Small volume, high intent"
2026-01-05,2026-01,Organic Search,148,124,99,0.6689,5,0.0338,5,0.0338,3,0.6,0,0,0.0,0.0,27.1,5.42,0.0,0.0,SEO engagement strength
2026-01-05,2026-01,Paid Search,62,52,38,0.6129,4,0.0645,3,0.0484,3,1.0,0,0,0.0,0.0,64.46,21.49,0.0,0.0,Baseline
