lead_id,lead_created_date,source_medium,default_channel_group,campaign_name,landing_page,service_interest,lead_status,is_mql,is_sql,became_customer,estimated_deal_value_usd,city,customer_type
DG1001,2026-01-01,google / organic,Organic Search,organic_non_brand,/,General Website Inquiry,Working,No,No,No,0,Biratnagar,Professional Services
DG1002,2026-01-01,google / organic,Organic Search,organic_non_brand,/blog/website-cost-nepal,Business Website,MQL,Yes,No,No,0,Lalitpur,Startup
DG1003,2026-01-01,google / organic,Organic Search,organic_non_brand,/services/ecommerce-store,Ecommerce Store,MQL,Yes,No,No,0,Pokhara,SME
DG1004,2026-01-01,google / organic,Organic Search,organic_non_brand,/services/business-website,Business Website,MQL,Yes,No,No,0,Chitwan,Professional Services
DG1005,2026-01-01,google / organic,Organic Search,organic_non_brand,/services/business-website,Business Website,Working,No,No,No,0,Hetauda,Startup
DG1006,2026-01-01,google / cpc,Paid Search,google_ecommerce_leads,/portfolio,Portfolio Follow-up,Working,No,No,No,0,Pokhara,SME
DG1007,2026-01-01,google / cpc,Paid Search,google_ecommerce_leads,/services/ecommerce-store,Ecommerce Store,MQL,Yes,No,No,0,Kathmandu,SME
DG1008,2026-01-01,google / cpc,Paid Search,google_ecommerce_leads,/services/ecommerce-store,Ecommerce Store,Working,No,No,No,0,Dharan,Educational Institution
DG1009,2026-01-01,facebook / paid_social,Paid Social,fb_business_website_awareness,/about,General Website Inquiry,Working,No,No,No,0,Bhaktapur,SME
DG1010,2026-01-01,facebook / paid_social,Paid Social,fb_business_website_awareness,/services/business-website,Business Website,Working,No,No,No,0,Hetauda,Startup
DG1011,2026-01-01,newsletter / email,Email,client_referral_nurture,/services/seo-digital-marketing,Digital Marketing,MQL,Yes,No,No,0,Bhaktapur,Startup
DG1012,2026-01-01,newsletter / email,Email,client_referral_nurture,/contact,General Website Inquiry,SQL,Yes,Yes,No,0,Lalitpur,Retail Business
DG1013,2026-01-01,(direct) / (none),Direct,direct_none,/services/seo-digital-marketing,Digital Marketing,MQL,Yes,No,No,0,Hetauda,Educational Institution
DG1014,2026-01-01,partner_sites / referral,Referral,directory_referrals,/services/school-management-system,School Management System,MQL,Yes,No,No,0,Chitwan,Professional Services
DG1015,2026-01-02,google / organic,Organic Search,organic_non_brand,/services/seo-digital-marketing,Digital Marketing,SQL,Yes,Yes,No,0,Birgunj,Startup
DG1016,2026-01-02,google / organic,Organic Search,organic_non_brand,/portfolio,Portfolio Follow-up,Working,No,No,No,0,Kathmandu,Educational Institution
DG1017,2026-01-02,google / organic,Organic Search,organic_non_brand,/services/business-website,Business Website,MQL,Yes,No,No,0,Biratnagar,Retail Business
DG1018,2026-01-02,google / organic,Organic Search,organic_non_brand,/services/law-firm-management-system,Law Firm Management System,Working,No,No,No,0,Pokhara,Professional Services
DG1019,2026-01-02,google / organic,Organic Search,organic_non_brand,/services/business-website,Business Website,SQL,Yes,Yes,No,0,Bhaktapur,Professional Services
DG1020,2026-01-02,google / cpc,Paid Search,google_website_service_leads,/services/seo-digital-marketing,Digital Marketing,Working,No,No,No,0,Kathmandu,Startup
DG1021,2026-01-02,google / cpc,Paid Search,google_website_service_leads,/services/seo-digital-marketing,Digital Marketing,MQL,Yes,No,No,0,Kathmandu,Educational Institution
DG1022,2026-01-02,google / cpc,Paid Search,google_website_service_leads,/services/ecommerce-store,Ecommerce Store,SQL,Yes,Yes,No,0,Biratnagar,Educational Institution
DG1023,2026-01-02,facebook / paid_social,Paid Social,fb_business_website_awareness,/services/business-website,Business Website,SQL,Yes,Yes,No,0,Lalitpur,Startup
DG1024,2026-01-02,facebook / paid_social,Paid Social,fb_business_website_awareness,/services/law-firm-management-system,Law Firm Management System,Working,No,No,No,0,Kathmandu,Retail Business
DG1025,2026-01-02,newsletter / email,Email,monthly_newsletter,/services/school-management-system,School Management System,SQL,Yes,Yes,No,0,Butwal,SME
DG1026,2026-01-02,newsletter / email,Email,monthly_newsletter,/services/seo-digital-marketing,Digital Marketing,Working,No,No,No,0,Bhaktapur,Educational Institution
DG1027,2026-01-02,(direct) / (none),Direct,direct_none,/services/business-website,Business Website,Working,No,No,No,0,Biratnagar,SME
DG1028,2026-01-02,(direct) / (none),Direct,direct_none,/,General Website Inquiry,Working,No,No,No,0,Lalitpur,Educational Institution
DG1029,2026-01-02,(direct) / (none),Direct,direct_none,/portfolio,Portfolio Follow-up,Unqualified,No,No,No,0,Birgunj,Startup
DG1030,2026-01-02,partner_sites / referral,Referral,directory_referrals,/services/ecommerce-store,Ecommerce Store,Working,No,No,No,0,Biratnagar,Professional Services
DG1031,2026-01-03,google / organic,Organic Search,seo_service_pages,/portfolio,Portfolio Follow-up,Working,No,No,No,0,Hetauda,SME
DG1032,2026-01-03,google / organic,Organic Search,seo_service_pages,/services/ecommerce-store,Ecommerce Store,Working,No,No,No,0,Bhaktapur,Startup
DG1033,2026-01-03,google / organic,Organic Search,seo_service_pages,/services/business-website,Business Website,Working,No,No,No,0,Hetauda,Educational Institution
DG1034,2026-01-03,google / organic,Organic Search,seo_service_pages,/portfolio,Portfolio Follow-up,SQL,Yes,Yes,No,0,Bhaktapur,Professional Services
DG1035,2026-01-03,google / cpc,Paid Search,google_website_service_leads,/services/seo-digital-marketing,Digital Marketing,MQL,Yes,No,No,0,Butwal,SME
DG1036,2026-01-03,google / cpc,Paid Search,google_website_service_leads,/contact,General Website Inquiry,MQL,Yes,No,No,0,Biratnagar,Startup
DG1037,2026-01-03,facebook / paid_social,Paid Social,fb_business_website_awareness,/blog/website-cost-nepal,Business Website,Working,No,No,No,0,Bhaktapur,Professional Services
DG1038,2026-01-03,facebook / paid_social,Paid Social,fb_business_website_awareness,/contact,General Website Inquiry,MQL,Yes,No,No,0,Butwal,Startup
DG1039,2026-01-03,(direct) / (none),Direct,direct_none,/services/school-management-system,School Management System,MQL,Yes,No,No,0,Bhaktapur,Startup
DG1040,2026-01-03,partner_sites / referral,Referral,agency_partner_backlinks,/services/business-website,Business Website,Working,No,No,No,0,Butwal,Retail Business
DG1041,2026-01-04,google / organic,Organic Search,organic_non_brand,/services/seo-digital-marketing,Digital Marketing,MQL,Yes,No,No,0,Hetauda,Educational Institution
DG1042,2026-01-04,google / organic,Organic Search,organic_non_brand,/services/ecommerce-store,Ecommerce Store,Unqualified,No,No,No,0,Lalitpur,Retail Business
DG1043,2026-01-04,google / organic,Organic Search,organic_non_brand,/services/school-management-system,School Management System,MQL,Yes,No,No,0,Pokhara,Professional Services
DG1044,2026-01-04,google / organic,Organic Search,organic_non_brand,/services/business-website,Business Website,MQL,Yes,No,No,0,Lalitpur,Educational Institution
