date,landing_page,page_title,views,users,entrances,engaged_sessions,average_engagement_time_seconds,form_submit_events,phone_click_events,whatsapp_click_events
2026-01-01,/,Home,162,91,70,41,82,0,0,1
2026-01-01,/services/business-website,Business Website Development,123,78,36,24,115,0,0,0
2026-01-01,/services/ecommerce-store,Ecommerce Store Development,44,31,18,12,62,0,0,0
2026-01-01,/services/seo-digital-marketing,SEO & Digital Marketing,42,29,17,10,99,0,0,0
2026-01-01,/services/school-management-system,School Management System,35,25,16,10,88,0,0,0
2026-01-01,/services/law-firm-management-system,Law Firm Management System,22,16,8,5,109,0,0,0
2026-01-01,/portfolio,Portfolio,33,20,17,12,99,0,0,0
2026-01-01,/blog/website-cost-nepal,Website Cost in Nepal Guide,32,24,10,7,119,0,0,0
2026-01-01,/contact,Contact,22,13,10,5,75,0,0,0
2026-01-01,/about,About Digi Agent,6,3,2,0,81,0,0,0
2026-01-02,/,Home,146,113,59,38,90,0,0,0
2026-01-02,/services/business-website,Business Website Development,106,65,45,28,65,0,0,0
2026-01-02,/services/ecommerce-store,Ecommerce Store Development,92,58,27,18,113,0,0,1
2026-01-02,/services/seo-digital-marketing,SEO & Digital Marketing,58,33,22,14,64,0,0,0
2026-01-02,/services/school-management-system,School Management System,45,29,17,10,44,0,0,0
2026-01-02,/services/law-firm-management-system,Law Firm Management System,28,20,12,8,97,0,0,0
2026-01-02,/portfolio,Portfolio,41,29,16,10,115,0,0,0
2026-01-02,/blog/website-cost-nepal,Website Cost in Nepal Guide,41,27,11,7,117,0,0,0
2026-01-02,/contact,Contact,27,17,12,6,57,0,0,0
2026-01-02,/about,About Digi Agent,13,9,4,1,70,0,0,0
2026-01-03,/,Home,90,62,42,22,58,0,0,0
2026-01-03,/services/business-website,Business Website Development,94,56,31,20,84,0,0,0
2026-01-03,/services/ecommerce-store,Ecommerce Store Development,38,27,17,11,70,0,0,0
2026-01-03,/services/seo-digital-marketing,SEO & Digital Marketing,62,45,18,10,37,0,0,0
2026-01-03,/services/school-management-system,School Management System,38,25,15,8,118,0,0,0
2026-01-03,/services/law-firm-management-system,Law Firm Management System,31,21,10,6,101,0,0,0
2026-01-03,/portfolio,Portfolio,33,18,11,7,73,0,0,0
2026-01-03,/blog/website-cost-nepal,Website Cost in Nepal Guide,24,14,12,8,53,0,0,0
2026-01-03,/contact,Contact,16,11,7,3,31,0,0,0
2026-01-03,/about,About Digi Agent,6,4,1,0,59,0,0,0
2026-01-04,/,Home,110,63,56,29,123,1,0,1
2026-01-04,/services/business-website,Business Website Development,54,35,23,15,50,0,0,0
2026-01-04,/services/ecommerce-store,Ecommerce Store Development,57,32,27,19,68,0,0,0
2026-01-04,/services/seo-digital-marketing,SEO & Digital Marketing,48,27,18,11,83,0,0,0
2026-01-04,/services/school-management-system,School Management System,35,19,12,7,32,0,0,0
2026-01-04,/services/law-firm-management-system,Law Firm Management System,18,10,5,3,59,0,0,0
2026-01-04,/portfolio,Portfolio,26,18,8,5,109,0,0,0
2026-01-04,/blog/website-cost-nepal,Website Cost in Nepal Guide,19,11,6,4,104,0,0,0
2026-01-04,/contact,Contact,19,12,8,4,76,0,0,0
2026-01-04,/about,About Digi Agent,8,6,2,1,49,0,0,0
2026-01-05,/,Home,156,103,71,44,34,0,0,1
2026-01-05,/services/business-website,Business Website Development,96,58,28,17,105,0,0,0
2026-01-05,/services/ecommerce-store,Ecommerce Store Development,108,71,42,27,105,1,0,1
2026-01-05,/services/seo-digital-marketing,SEO & Digital Marketing,87,62,34,19,38,0,0,0
2026-01-05,/services/school-management-system,School Management System,38,23,16,11,87,0,0,0
2026-01-05,/services/law-firm-management-system,Law Firm Management System,35,23,10,6,87,0,0,0
2026-01-05,/portfolio,Portfolio,56,41,24,18,95,0,0,0
2026-01-05,/blog/website-cost-nepal,Website Cost in Nepal Guide,48,31,16,10,59,0,0,0
2026-01-05,/contact,Contact,17,12,5,2,95,0,0,0
2026-01-05,/about,About Digi Agent,10,6,4,2,105,0,0,0
2026-01-06,/,Home,154,88,50,26,83,0,0,0
2026-01-06,/services/business-website,Business Website Development,103,73,41,27,83,1,0,1
2026-01-06,/services/ecommerce-store,Ecommerce Store Development,85,50,43,27,98,0,0,0
2026-01-06,/services/seo-digital-marketing,SEO & Digital Marketing,96,71,32,20,81,0,0,0
2026-01-06,/services/school-management-system,School Management System,37,25,16,10,110,0,0,0
2026-01-06,/services/law-firm-management-system,Law Firm Management System,29,20,11,7,67,0,0,0
2026-01-06,/portfolio,Portfolio,24,15,9,5,80,0,0,0
2026-01-06,/blog/website-cost-nepal,Website Cost in Nepal Guide,34,22,11,7,85,0,0,0
2026-01-06,/contact,Contact,15,10,5,2,51,0,0,0
2026-01-06,/about,About Digi Agent,8,4,3,1,74,0,0,0
2026-01-07,/,Home,152,99,65,38,91,0,0,1
2026-01-07,/services/business-website,Business Website Development,62,38,27,15,80,0,0,0
2026-01-07,/services/ecommerce-store,Ecommerce Store Development,70,46,35,20,71,0,0,1
2026-01-07,/services/seo-digital-marketing,SEO & Digital Marketing,70,41,31,21,102,0,0,0
2026-01-07,/services/school-management-system,School Management System,40,26,15,11,65,0,0,0
2026-01-07,/services/law-firm-management-system,Law Firm Management System,33,22,13,8,123,0,0,0
2026-01-07,/portfolio,Portfolio,42,27,18,13,42,0,0,0
2026-01-07,/blog/website-cost-nepal,Website Cost in Nepal Guide,37,20,12,7,104,0,0,0
2026-01-07,/contact,Contact,33,21,11,5,94,0,0,0
2026-01-07,/about,About Digi Agent,7,5,3,1,95,0,0,0
2026-01-08,/,Home,111,70,41,24,97,0,0,0
2026-01-08,/services/business-website,Business Website Development,88,49,24,13,87,0,0,0
2026-01-08,/services/ecommerce-store,Ecommerce Store Development,53,31,25,17,84,0,0,1
2026-01-08,/services/seo-digital-marketing,SEO & Digital Marketing,84,60,37,22,87,0,0,0
2026-01-08,/services/school-management-system,School Management System,39,22,20,13,25,0,0,0
2026-01-08,/services/law-firm-management-system,Law Firm Management System,29,16,10,7,94,0,0,0
2026-01-08,/portfolio,Portfolio,35,25,15,9,121,0,0,0
2026-01-08,/blog/website-cost-nepal,Website Cost in Nepal Guide,30,17,9,6,134,0,0,0
2026-01-08,/contact,Contact,18,11,6,2,111,0,0,0
2026-01-08,/about,About Digi Agent,8,5,3,1,48,0,0,0
2026-01-09,/,Home,114,72,47,28,60,0,0,0
2026-01-09,/services/business-website,Business Website Development,60,36,28,17,103,0,0,0
2026-01-09,/services/ecommerce-store,Ecommerce Store Development,93,67,43,27,96,1,0,1
2026-01-09,/services/seo-digital-marketing,SEO & Digital Marketing,63,46,20,12,109,0,0,0
2026-01-09,/services/school-management-system,School Management System,53,36,21,14,126,0,0,0
2026-01-09,/services/law-firm-management-system,Law Firm Management System,25,16,7,4,156,0,0,0
2026-01-09,/portfolio,Portfolio,49,28,21,15,90,0,0,0
2026-01-09,/blog/website-cost-nepal,Website Cost in Nepal Guide,37,25,18,13,107,0,0,0
2026-01-09,/contact,Contact,26,19,10,5,70,0,0,0
2026-01-09,/about,About Digi Agent,14,7,7,3,98,0,0,0
2026-01-10,/,Home,92,60,31,19,68,0,0,0
2026-01-10,/services/business-website,Business Website Development,69,50,22,15,115,0,0,0
2026-01-10,/services/ecommerce-store,Ecommerce Store Development,72,55,20,13,114,0,0,0
2026-01-10,/services/seo-digital-marketing,SEO & Digital Marketing,40,30,19,11,55,0,0,0
2026-01-10,/services/school-management-system,School Management System,24,16,9,6,94,0,0,0
2026-01-10,/services/law-firm-management-system,Law Firm Management System,12,8,5,3,114,0,0,0
2026-01-10,/portfolio,Portfolio,24,13,7,5,117,0,0,0
2026-01-10,/blog/website-cost-nepal,Website Cost in Nepal Guide,30,18,15,9,63,0,0,0
2026-01-10,/contact,Contact,9,6,4,1,84,0,0,0
2026-01-10,/about,About Digi Agent,7,4,2,1,56,0,0,0
2026-01-11,/,Home,100,58,37,22,76,0,0,0
2026-01-11,/services/business-website,Business Website Development,66,38,32,18,101,0,0,0
2026-01-11,/services/ecommerce-store,Ecommerce Store Development,35,23,16,9,101,0,0,0
2026-01-11,/services/seo-digital-marketing,SEO & Digital Marketing,30,18,8,5,77,0,0,0
2026-01-11,/services/school-management-system,School Management System,26,15,10,6,116,0,0,0
2026-01-11,/services/law-firm-management-system,Law Firm Management System,27,18,11,8,106,0,0,0
2026-01-11,/portfolio,Portfolio,45,29,22,16,73,0,0,0
2026-01-11,/blog/website-cost-nepal,Website Cost in Nepal Guide,43,24,16,12,20,0,0,0
2026-01-11,/contact,Contact,14,8,4,2,102,0,0,0
2026-01-11,/about,About Digi Agent,7,5,3,1,65,0,0,0
2026-01-12,/,Home,120,69,53,31,43,0,0,0
2026-01-12,/services/business-website,Business Website Development,96,56,28,16,113,0,0,0
2026-01-12,/services/ecommerce-store,Ecommerce Store Development,64,46,29,17,67,0,0,0
2026-01-12,/services/seo-digital-marketing,SEO & Digital Marketing,97,65,27,14,95,0,0,0
2026-01-12,/services/school-management-system,School Management System,27,15,13,8,62,0,0,0
2026-01-12,/services/law-firm-management-system,Law Firm Management System,29,21,8,5,91,0,0,0
2026-01-12,/portfolio,Portfolio,50,34,23,16,91,0,0,0
2026-01-12,/blog/website-cost-nepal,Website Cost in Nepal Guide,39,23,17,10,95,0,0,0
2026-01-12,/contact,Contact,28,19,9,5,47,0,0,0
2026-01-12,/about,About Digi Agent,14,9,5,2,74,0,0,0
2026-01-13,/,Home,167,103,76,45,120,0,0,1
2026-01-13,/services/business-website,Business Website Development,96,64,41,27,90,0,0,1
2026-01-13,/services/ecommerce-store,Ecommerce Store Development,50,28,18,10,60,0,0,0
2026-01-13,/services/seo-digital-marketing,SEO & Digital Marketing,58,34,23,13,55,0,0,0
2026-01-13,/services/school-management-system,School Management System,49,34,14,8,102,0,0,0
2026-01-13,/services/law-firm-management-system,Law Firm Management System,27,20,10,6,68,0,0,0
2026-01-13,/portfolio,Portfolio,54,30,27,19,67,0,0,0
2026-01-13,/blog/website-cost-nepal,Website Cost in Nepal Guide,27,20,7,5,62,0,0,0
2026-01-13,/contact,Contact,24,18,9,5,55,0,0,0
2026-01-13,/about,About Digi Agent,8,6,3,1,43,0,0,0
2026-01-14,/,Home,99,59,50,32,67,0,0,0
2026-01-14,/services/business-website,Business Website Development,140,78,64,37,51,1,0,1
2026-01-14,/services/ecommerce-store,Ecommerce Store Development,62,35,31,20,85,0,0,0
2026-01-14,/services/seo-digital-marketing,SEO & Digital Marketing,47,36,15,8,123,0,0,0
2026-01-14,/services/school-management-system,School Management System,34,22,11,6,111,0,0,0
2026-01-14,/services/law-firm-management-system,Law Firm Management System,30,20,11,7,124,0,0,0
2026-01-14,/portfolio,Portfolio,47,31,17,13,63,0,0,0
2026-01-14,/blog/website-cost-nepal,Website Cost in Nepal Guide,34,21,10,7,58,0,0,0
2026-01-14,/contact,Contact,18,11,5,2,31,0,0,0
2026-01-14,/about,About Digi Agent,14,10,4,2,67,0,0,0
2026-01-15,/,Home,123,81,46,28,109,0,0,0
2026-01-15,/services/business-website,Business Website Development,80,48,32,18,146,0,0,0
2026-01-15,/services/ecommerce-store,Ecommerce Store Development,71,43,22,13,76,0,0,0
2026-01-15,/services/seo-digital-marketing,SEO & Digital Marketing,59,43,19,11,78,0,0,0
2026-01-15,/services/school-management-system,School Management System,36,23,16,9,103,0,0,0
2026-01-15,/services/law-firm-management-system,Law Firm Management System,15,8,7,5,68,0,0,0
2026-01-15,/portfolio,Portfolio,42,30,20,13,89,0,0,0
2026-01-15,/blog/website-cost-nepal,Website Cost in Nepal Guide,31,18,10,6,136,0,0,0
2026-01-15,/contact,Contact,19,14,7,3,107,0,0,0
2026-01-15,/about,About Digi Agent,9,6,2,1,78,0,0,0
2026-01-16,/,Home,137,90,66,39,114,1,0,1
2026-01-16,/services/business-website,Business Website Development,114,85,48,29,73,0,0,1
2026-01-16,/services/ecommerce-store,Ecommerce Store Development,65,40,19,12,76,0,0,0
2026-01-16,/services/seo-digital-marketing,SEO & Digital Marketing,57,36,22,13,79,0,0,0
2026-01-16,/services/school-management-system,School Management System,48,33,17,11,88,0,0,0
2026-01-16,/services/law-firm-management-system,Law Firm Management System,39,22,12,8,110,0,0,0
2026-01-16,/portfolio,Portfolio,55,39,23,16,109,0,0,0
2026-01-16,/blog/website-cost-nepal,Website Cost in Nepal Guide,46,31,23,17,20,0,0,0
2026-01-16,/contact,Contact,22,14,10,5,54,0,0,0
2026-01-16,/about,About Digi Agent,11,6,5,2,60,0,0,0
2026-01-17,/,Home,77,59,38,21,41,0,0,0
2026-01-17,/services/business-website,Business Website Development,75,50,23,16,101,0,0,0
2026-01-17,/services/ecommerce-store,Ecommerce Store Development,62,44,28,19,89,0,0,0
2026-01-17,/services/seo-digital-marketing,SEO & Digital Marketing,53,30,17,11,72,0,0,0
2026-01-17,/services/school-management-system,School Management System,30,20,13,8,79,0,0,0
2026-01-17,/services/law-firm-management-system,Law Firm Management System,14,9,6,4,95,0,0,0
2026-01-17,/portfolio,Portfolio,29,16,13,8,88,0,0,0
2026-01-17,/blog/website-cost-nepal,Website Cost in Nepal Guide,36,23,17,10,132,0,0,0
2026-01-17,/contact,Contact,14,8,6,3,74,0,0,0
2026-01-17,/about,About Digi Agent,9,5,4,2,70,0,0,0
2026-01-18,/,Home,98,54,37,21,100,0,0,0
2026-01-18,/services/business-website,Business Website Development,89,67,34,19,60,0,0,1
2026-01-18,/services/ecommerce-store,Ecommerce Store Development,75,52,23,15,94,0,0,0
2026-01-18,/services/seo-digital-marketing,SEO & Digital Marketing,38,24,11,6,75,0,0,0
2026-01-18,/services/school-management-system,School Management System,24,13,7,4,74,0,0,0
2026-01-18,/services/law-firm-management-system,Law Firm Management System,17,10,5,3,77,0,0,0
2026-01-18,/portfolio,Portfolio,25,17,10,7,82,0,0,0
2026-01-18,/blog/website-cost-nepal,Website Cost in Nepal Guide,35,25,13,8,123,0,0,0
2026-01-18,/contact,Contact,16,11,7,3,33,0,0,0
2026-01-18,/about,About Digi Agent,7,4,2,1,65,0,0,0
2026-01-19,/,Home,152,106,53,32,106,0,0,1
2026-01-19,/services/business-website,Business Website Development,114,86,52,34,93,1,0,1
2026-01-19,/services/ecommerce-store,Ecommerce Store Development,96,70,46,31,71,1,0,1
2026-01-19,/services/seo-digital-marketing,SEO & Digital Marketing,50,32,19,12,97,0,0,0
2026-01-19,/services/school-management-system,School Management System,33,24,12,7,31,0,0,0
2026-01-19,/services/law-firm-management-system,Law Firm Management System,21,15,7,4,83,0,0,0
2026-01-19,/portfolio,Portfolio,62,38,17,10,123,0,0,0
2026-01-19,/blog/website-cost-nepal,Website Cost in Nepal Guide,31,21,15,10,111,0,0,0
2026-01-19,/contact,Contact,27,19,8,3,82,0,0,0
2026-01-19,/about,About Digi Agent,14,8,6,2,88,0,0,0
2026-01-20,/,Home,120,91,38,23,112,0,0,0
2026-01-20,/services/business-website,Business Website Development,87,54,40,24,120,1,0,0
2026-01-20,/services/ecommerce-store,Ecommerce Store Development,87,55,27,18,115,0,0,0
2026-01-20,/services/seo-digital-marketing,SEO & Digital Marketing,64,41,20,11,109,0,0,0
2026-01-20,/services/school-management-system,School Management System,36,23,18,12,70,0,0,0
2026-01-20,/services/law-firm-management-system,Law Firm Management System,35,24,11,7,166,0,0,0
2026-01-20,/portfolio,Portfolio,61,39,20,14,100,0,0,0
2026-01-20,/blog/website-cost-nepal,Website Cost in Nepal Guide,30,18,13,9,99,0,0,0
2026-01-20,/contact,Contact,23,17,6,3,70,0,0,0
2026-01-20,/about,About Digi Agent,15,8,7,3,118,0,0,0
2026-01-21,/,Home,136,83,54,34,72,0,0,0
2026-01-21,/services/business-website,Business Website Development,107,61,47,28,118,0,0,1
2026-01-21,/services/ecommerce-store,Ecommerce Store Development,69,45,26,16,65,0,0,0
2026-01-21,/services/seo-digital-marketing,SEO & Digital Marketing,52,36,19,10,28,0,0,0
2026-01-21,/services/school-management-system,School Management System,24,16,11,7,103,0,0,0
2026-01-21,/services/law-firm-management-system,Law Firm Management System,25,14,7,4,114,0,0,0
2026-01-21,/portfolio,Portfolio,60,40,26,19,122,0,0,0
2026-01-21,/blog/website-cost-nepal,Website Cost in Nepal Guide,26,18,8,5,65,0,0,0
2026-01-21,/contact,Contact,13,9,5,2,89,0,0,0
2026-01-21,/about,About Digi Agent,6,4,2,1,127,0,0,0
2026-01-22,/,Home,122,81,57,34,91,1,0,0
2026-01-22,/services/business-website,Business Website Development,69,47,32,20,105,0,0,0
2026-01-22,/services/ecommerce-store,Ecommerce Store Development,67,42,19,13,71,0,0,0
2026-01-22,/services/seo-digital-marketing,SEO & Digital Marketing,78,54,31,17,85,0,0,0
2026-01-22,/services/school-management-system,School Management System,51,38,25,17,108,0,0,0
2026-01-22,/services/law-firm-management-system,Law Firm Management System,38,26,18,11,101,0,0,0
2026-01-22,/portfolio,Portfolio,36,22,14,10,47,0,0,0
2026-01-22,/blog/website-cost-nepal,Website Cost in Nepal Guide,29,20,13,8,127,0,0,0
2026-01-22,/contact,Contact,28,17,13,7,77,0,0,0
2026-01-22,/about,About Digi Agent,8,5,3,1,99,0,0,0
2026-01-23,/,Home,115,82,45,29,35,0,0,0
2026-01-23,/services/business-website,Business Website Development,80,46,39,24,70,0,0,1
2026-01-23,/services/ecommerce-store,Ecommerce Store Development,58,35,27,18,105,0,0,1
2026-01-23,/services/seo-digital-marketing,SEO & Digital Marketing,60,34,21,12,59,0,0,0
2026-01-23,/services/school-management-system,School Management System,29,20,11,7,88,0,0,0
