date,query,page,country,device,clicks,impressions,ctr,average_position
2026-01-01,website design company in nepal,/services/business-website,Nepal,mobile,2,177,0.0113,9.4
2026-01-01,ecommerce website development nepal,/services/ecommerce-store,Nepal,desktop,3,233,0.0129,9.2
2026-01-01,school management software nepal,/services/school-management-system,Nepal,mobile,2,125,0.016,11.8
2026-01-01,law firm management system nepal,/services/law-firm-management-system,Nepal,mobile,1,86,0.0116,11.2
2026-01-01,digital marketing company in nepal,/services/seo-digital-marketing,Nepal,desktop,2,173,0.0116,10.9
2026-01-01,business website package nepal,/services/business-website,Nepal,mobile,2,130,0.0154,8.2
2026-01-01,online store development nepal,/services/ecommerce-store,Nepal,mobile,0,71,0.0,9.8
2026-01-01,best IT company in kathmandu,/,Nepal,desktop,0,57,0.0,13.4
2026-01-01,portfolio website design nepal,/portfolio,Nepal,mobile,0,58,0.0,13.7
2026-01-01,crm software nepal,/services/business-website,Nepal,desktop,0,16,0.0,16.7
2026-01-01,wordpress website design nepal,/services/business-website,Nepal,desktop,0,9,0.0,17.8
2026-01-02,website design company in nepal,/services/business-website,Nepal,mobile,2,149,0.0134,10.1
2026-01-02,ecommerce website development nepal,/services/ecommerce-store,Nepal,tablet,5,200,0.025,7.2
2026-01-02,school management software nepal,/services/school-management-system,Nepal,mobile,1,126,0.0079,11.3
2026-01-02,law firm management system nepal,/services/law-firm-management-system,Nepal,mobile,0,90,0.0,13.2
2026-01-02,digital marketing company in nepal,/services/seo-digital-marketing,Nepal,desktop,5,198,0.0253,7.6
2026-01-02,business website package nepal,/services/business-website,Nepal,desktop,1,105,0.0095,9.3
2026-01-02,online store development nepal,/services/ecommerce-store,Nepal,mobile,1,116,0.0086,10.0
2026-01-02,best IT company in kathmandu,/,Nepal,desktop,0,60,0.0,14.4
2026-01-02,portfolio website design nepal,/portfolio,Nepal,mobile,0,36,0.0,16.1
2026-01-02,crm software nepal,/services/business-website,Nepal,mobile,0,13,0.0,19.1
2026-01-02,wordpress website design nepal,/services/business-website,Nepal,desktop,0,13,0.0,17.8
2026-01-03,website design company in nepal,/services/business-website,Nepal,mobile,3,143,0.021,7.8
2026-01-03,ecommerce website development nepal,/services/ecommerce-store,Nepal,mobile,3,169,0.0178,5.7
2026-01-03,school management software nepal,/services/school-management-system,Nepal,mobile,2,146,0.0137,12.0
2026-01-03,law firm management system nepal,/services/law-firm-management-system,Nepal,mobile,0,53,0.0,12.9
2026-01-03,digital marketing company in nepal,/services/seo-digital-marketing,Nepal,mobile,1,141,0.0071,10.5
2026-01-03,business website package nepal,/services/business-website,Nepal,mobile,0,71,0.0,8.4
2026-01-03,online store development nepal,/services/ecommerce-store,Nepal,desktop,0,76,0.0,12.2
2026-01-03,best IT company in kathmandu,/,Nepal,mobile,0,64,0.0,13.4
2026-01-03,portfolio website design nepal,/portfolio,Nepal,desktop,0,31,0.0,14.3
2026-01-03,crm software nepal,/services/business-website,Nepal,mobile,0,7,0.0,19.3
2026-01-03,wordpress website design nepal,/services/business-website,Nepal,mobile,0,8,0.0,16.6
2026-01-04,website design company in nepal,/services/business-website,Nepal,desktop,3,168,0.0179,9.0
2026-01-04,ecommerce website development nepal,/services/ecommerce-store,Nepal,desktop,3,115,0.0261,8.3
2026-01-04,school management software nepal,/services/school-management-system,Nepal,desktop,1,90,0.0111,8.9
2026-01-04,law firm management system nepal,/services/law-firm-management-system,Nepal,mobile,0,84,0.0,14.1
2026-01-04,digital marketing company in nepal,/services/seo-digital-marketing,Nepal,desktop,1,115,0.0087,8.9
2026-01-04,business website package nepal,/services/business-website,Nepal,mobile,1,73,0.0137,10.5
2026-01-04,online store development nepal,/services/ecommerce-store,Nepal,desktop,0,56,0.0,12.1
2026-01-04,best IT company in kathmandu,/,Nepal,desktop,0,50,0.0,12.7
2026-01-04,portfolio website design nepal,/portfolio,Nepal,desktop,0,33,0.0,14.5
2026-01-04,crm software nepal,/services/business-website,Nepal,desktop,0,11,0.0,18.5
2026-01-04,wordpress website design nepal,/services/business-website,Nepal,desktop,0,8,0.0,18.5
2026-01-05,website design company in nepal,/services/business-website,Nepal,mobile,6,264,0.0227,8.5
2026-01-05,ecommerce website development nepal,/services/ecommerce-store,Nepal,desktop,2,148,0.0135,8.3
2026-01-05,school management software nepal,/services/school-management-system,Nepal,desktop,2,178,0.0112,11.5
2026-01-05,law firm management system nepal,/services/law-firm-management-system,Nepal,mobile,1,87,0.0115,13.8
2026-01-05,digital marketing company in nepal,/services/seo-digital-marketing,Nepal,mobile,2,151,0.0132,10.8
2026-01-05,business website package nepal,/services/business-website,Nepal,mobile,3,140,0.0214,8.9
2026-01-05,online store development nepal,/services/ecommerce-store,Nepal,mobile,1,68,0.0147,11.5
2026-01-05,best IT company in kathmandu,/,Nepal,desktop,0,60,0.0,11.4
2026-01-05,portfolio website design nepal,/portfolio,Nepal,desktop,0,58,0.0,14.2
2026-01-05,crm software nepal,/services/business-website,Nepal,tablet,0,9,0.0,19.5
2026-01-05,wordpress website design nepal,/services/business-website,Nepal,desktop,0,11,0.0,18.5
2026-01-06,website design company in nepal,/services/business-website,Nepal,mobile,4,193,0.0207,9.4
2026-01-06,ecommerce website development nepal,/services/ecommerce-store,Nepal,desktop,4,206,0.0194,5.8
2026-01-06,school management software nepal,/services/school-management-system,Nepal,desktop,2,133,0.015,10.7
2026-01-06,law firm management system nepal,/services/law-firm-management-system,Nepal,desktop,0,75,0.0,13.8
2026-01-06,digital marketing company in nepal,/services/seo-digital-marketing,Nepal,mobile,3,194,0.0155,9.8
2026-01-06,business website package nepal,/services/business-website,Nepal,mobile,1,118,0.0085,7.7
2026-01-06,online store development nepal,/services/ecommerce-store,Nepal,desktop,0,78,0.0,12.9
2026-01-06,best IT company in kathmandu,/,Nepal,desktop,0,55,0.0,13.7
2026-01-06,portfolio website design nepal,/portfolio,Nepal,desktop,0,70,0.0,15.5
2026-01-06,crm software nepal,/services/business-website,Nepal,mobile,0,15,0.0,17.7
